media_name,year,article_count,political_bias_mean,political_bias_median,political_bias_high_pct,gender_bias_mean,gender_bias_median,gender_bias_high_pct,religious_bias_mean,religious_bias_median,religious_bias_high_pct,caste_bias_mean,caste_bias_median,caste_bias_high_pct,region_bias_mean,region_bias_median,region_bias_high_pct,overall_bias_mean,political_bias_ma_5y,gender_bias_ma_5y,religious_bias_ma_5y,caste_bias_ma_5y,region_bias_ma_5y,overall_bias_ma_5y
THE INDIAN EXPRESS,2004,7256,0.4573211135320127,0.5,41.66207276736494,0.4645210876873496,0.5,35.887541345093716,0.20283062344513497,0.0,2.4531422271223815,0.9324186881911728,1.0,91.51047409040794,0.36950799407357354,0.5,3.1008820286659318,0.48531990138584874,0.4204729580572798,0.45482117069592143,0.1873400074632994,0.9385247442661141,0.37123513797758,0.474478803692039
THE INDIAN EXPRESS,2005,7273,0.48028200193594234,0.5,43.68211192080297,0.4668847811033789,0.5,36.68362436408635,0.20870521174128864,0.0,3.368623676612127,0.9441559193498344,1.0,92.94651450570603,0.3770397367209676,0.5,3.5611164581328203,0.4954135301702824,0.4511684769043958,0.4584390633628651,0.19582881832588753,0.939922815152384,0.37263796118611736,0.4835994269863299
THE INDIAN EXPRESS,2006,7268,0.5033076500205398,0.5,45.5558613098514,0.4569570735259926,0.449999988079071,34.53494771601541,0.1884756475475852,0.0,4.251513483764447,0.9578648873276283,1.0,94.51018161805173,0.37603219683001704,0.5,4.678040726472207,0.49652749105035254,0.4844122691281877,0.4599430742544538,0.20279104287088767,0.9390849956912201,0.37448321785663147,0.4921429199602761
THE INDIAN EXPRESS,2007,7273,0.4586503506485344,0.5,41.67468719923003,0.4575395316477657,0.4550000131130218,34.96493881479444,0.168285714987669,0.0,3.8636051148081947,0.9592246666876401,1.0,94.70644850818094,0.3778079203727582,0.5,4.82606902241166,0.4843016368688734,0.4755770398120604,0.46122923804381466,0.19452920203006446,0.9455584952207277,0.3747327146749584,0.49032533795632505
THE INDIAN EXPRESS,2008,7317,0.4116301762694395,0.0,37.242039087057535,0.48141027965212646,0.5,39.37406040727074,0.16897458062482137,0.0,4.469044690446904,0.9628148148994848,1.0,95.5036217028837,0.36678925845036336,0.5,3.5397020636873036,0.4783238219792471,0.46223825848129374,0.46546255072332265,0.18745435566929985,0.951295795291152,0.37343542128953594,0.48797727629092086
THE INDIAN EXPRESS,2009,7177,0.3870540615890092,0.0,35.19576424689982,0.4725807462958418,0.5,37.23004040685523,0.14944127140369723,0.0,3.1489480284241327,0.9587873764335071,1.0,95.09544377873763,0.3657087924832734,0.5,3.1489480284241327,0.46671444964106573,0.44818484809269304,0.46707448244502103,0.17677648526101228,0.956569532939619,0.3726755809714759,0.4842561859419643
THE INDIAN EXPRESS,2010,7185,0.39934933889053226,0.0,36.61795407098121,0.4757213664276781,0.5,37.439109255393184,0.1321024360564241,0.0,2.115518441196938,0.959713430850972,1.0,95.08698677800975,0.36460222737940134,0.5,3.3542101600556715,0.46629775992100153,0.431998315483611,0.468841799509881,0.1614559301240394,0.9596810352398464,0.37018807910316265,0.47843303189210806
THE INDIAN EXPRESS,2011,7213,0.3795149036440789,0.0,34.28531817551643,0.48216817091903064,0.5,37.97310411756551,0.13337751322396335,0.0,1.871620684874532,0.9664099543365348,1.0,95.88243449327602,0.3709758773795216,0.5,4.228476362123943,0.4664892839006259,0.40723976620831887,0.47388401898848853,0.150436303259315,0.9613900486416277,0.36917681521306356,0.47242539046216275
THE INDIAN EXPRESS,2012,6125,0.40836702040263584,0.0,36.96326530612245,0.46619167553101265,0.5,35.95102040816327,0.15315346983987457,0.0,2.122448979591837,0.9547474287164455,1.0,94.38367346938776,0.3764331434259609,0.5,3.9673469387755103,0.4717785475831859,0.39718310015913916,0.4756144477651379,0.1474098542297561,0.9604946010473888,0.3689018598237041,0.46992077260502524
THE INDIAN EXPRESS,2013,5291,0.40951219050133075,0.0,37.68663768663769,0.45732489287109734,0.4379999935626983,34.41693441693442,0.16439784600545004,0.0,3.0618030618030616,0.9646363637438795,1.0,95.52069552069553,0.375984502605287,0.5,3.78000378000378,0.47437115914540895,0.3967595030055174,0.4707973704089321,0.14649450730588187,0.9608589108162677,0.37074090865468884,0.46913024003825765
THE INDIAN EXPRESS,2014,8191,0.4087215235906852,0.0,37.06507141985105,0.4531573692152256,0.4289999902248382,33.9763154681968,0.15811573738486262,0.0,2.9422536930777685,0.9459228422827023,1.0,93.3463557563179,0.3762974003221857,0.5,3.8701013307288488,0.46844297455913225,0.4010929954058525,0.46691269499280885,0.14822940050211492,0.9582860039861067,0.37285863022247134,0.4694759450218709
THE INDIAN EXPRESS,2015,7214,0.3491011920986924,0.0,31.99334627113945,0.45931064749577055,0.4289999902248382,34.65483781535902,0.14003174444843866,0.0,3.215968949265317,0.9504678404422919,1.0,93.83143886886609,0.37043568124467396,0.5,5.572497920709731,0.4538694211459735,0.39104336604748463,0.4636305512064274,0.14981526218051783,0.9564368859043707,0.3740253209955259,0.4669902772668653
THE INDIAN EXPRESS,2016,7118,0.35759679684229667,0.0,32.71986513065468,0.4583186303684344,0.4289999902248382,35.30486091598763,0.12987693239670184,0.0,3.2452936218038775,0.94753722967928,1.0,93.60775498735599,0.37154200669544474,0.5,4.411351503231245,0.4529743191964315,0.38665974468712816,0.4588606430963081,0.14911514601506554,0.9526623409729199,0.3741385468587105,0.4642872843260264
THE INDIAN EXPRESS,2017,7002,0.36765809763638985,0.0,33.49043130534133,0.47308097846095254,0.5,37.160811196800914,0.13314895800899282,0.0,2.784918594687232,0.9588371895059998,1.0,94.81576692373608,0.36862296536373296,0.5,3.141959440159954,0.46026963779521357,0.37851796013387895,0.4602385036822961,0.1451142436488892,0.9534802931308308,0.3725765112462649,0.46198550236843194
THE INDIAN EXPRESS,2018,7435,0.3672708809616266,0.0,33.44989912575655,0.46332629600135206,0.5,36.166778749159384,0.12514324180917125,0.0,1.8426361802286482,0.9487729658536167,1.0,93.51714862138533,0.37529172885213513,0.5,4.142568930733019,0.4559610226955803,0.37006969822593816,0.46143878430834706,0.13726332280963344,0.9503076135527782,0.3724379564956345,0.45830347507846625
THE INDIAN EXPRESS,2019,6963,0.3625838000952778,0.0,33.347694959069365,0.46861108867353907,0.5,36.27746660922016,0.13444420560267778,0.0,2.3696682464454977,0.9535635503247845,1.0,94.15481832543445,0.37232845091372924,0.5,3.432428550911963,0.45830621912200165,0.3608421535268566,0.4645295282000097,0.13252901645319648,0.9518357551611946,0.3716441666139432,0.4562761239910401
THE INDIAN EXPRESS,2020,7389,0.4361303289118276,0.4000000059604645,39.12572743267019,0.4509683329350354,0.4289999902248382,34.07768304236026,0.14109202917518532,0.0,2.1653809717147112,0.9248078226506719,1.0,90.4993909866017,0.3697393429280941,0.5,3.3834077683042363,0.46454757132016283,0.3782479808894837,0.4628610652878627,0.13274107339854582,0.9467037516028706,0.3715048989506272,0.45841175402587797
THE INDIAN EXPRESS,2021,7265,0.4264942876938205,0.3330000042915344,38.12801101169993,0.4462944270862191,0.4289999902248382,34.0949759119064,0.1402491401647668,0.0,2.023399862353751,0.9270556093103215,1.0,90.7088781830695,0.370192843055159,0.5,3.152099105299381,0.46205726146205733,0.39202747905978846,0.4604562246314196,0.1348155149521588,0.9426074275290789,0.3712350662225701,0.4602283424790031
THE INDIAN EXPRESS,2022,7153,0.44457668119354815,0.5,39.50789878372711,0.4408062364730042,0.4289999902248382,31.706976093946597,0.14641087704416123,0.0,2.2228435621417586,0.9332826788398281,1.0,91.34628827065568,0.3678217538406295,0.4000000059604645,3.3831958618761355,0.4665796454782343,0.40741119577122015,0.45400127623383,0.13746789875919246,0.9374965253958445,0.3710748239179494,0.46149034401560735
THE INDIAN EXPRESS,2023,7246,0.4208052718989796,0.3330000042915344,37.496549820590666,0.4478207299644665,0.4289999902248382,32.92851228263869,0.13972384809189134,0.0,2.3185205630692796,0.9403399119008123,1.0,92.27159812310241,0.3584173343758984,0.3700000047683716,2.953353574385868,0.4614214192464096,0.4181180739586908,0.4509001630264528,0.1403840200157365,0.9358099146052836,0.36769994502270203,0.4625824233257731
THE INDIAN EXPRESS,2024,7274,0.4482001649102635,0.5,40.17047016772065,0.4316079202967196,0.4289999902248382,30.134726422875996,0.1290489419329894,0.0,2.3233434149023924,0.9475899094391531,1.0,93.23618366785813,0.3628883701845172,0.453000009059906,2.900742370085235,0.4638670613527286,0.4352413469216878,0.443499529351089,0.1393049672817988,0.9346151864281573,0.36581192887685965,0.4636945917719185
THE INDIAN EXPRESS,2025,7140,0.43760098037349077,0.5,39.103641456582636,0.406188376493105,0.4169999957084656,28.57142857142857,0.12454930015993552,0.0,1.9747899159663864,0.892777731269598,1.0,87.52100840336135,0.3530893563744234,0.375,2.843137254901961,0.4428411489341106,0.4355354772140205,0.43454353806270285,0.13599642147874885,0.9282091681519425,0.3624819315661255,0.459353307294708
THE TIMES OF INDIA,2020,645,0.4478403101595797,0.5,39.84496124031008,0.3718542639079482,0.3330000042915344,21.240310077519382,0.0841844963472943,0.0,0.9302325581395349,0.9612294575040654,1.0,95.03875968992249,0.41786666713481724,0.5,5.426356589147287,0.456595039010741,0.4478403101595797,0.3718542639079482,0.0841844963472943,0.9612294575040654,0.41786666713481724,0.456595039010741
THE TIMES OF INDIA,2021,341,0.42318768322992184,0.0,39.29618768328446,0.40263636374185163,0.4169999957084656,26.099706744868033,0.10290909110625818,0.0,0.5865102639296188,0.9491524928825692,1.0,93.25513196480938,0.41652199481764146,0.5,5.571847507331378,0.45888152515564845,0.43551399669475077,0.3872453138248999,0.09354679372677624,0.9551909751933173,0.4171943309762294,0.4577382820831947
THE TIMES OF INDIA,2022,45,0.39259999990463257,0.0,35.55555555555556,0.3834666654467583,0.3330000042915344,20.0,0.1111111111111111,0.0,0.0,0.9703555557462904,1.0,95.55555555555556,0.3917333331373003,0.5,2.2222222222222223,0.4498533330692185,0.4212093310980447,0.38598576436551935,0.0994015661882212,0.9602458353776416,0.40870733169658635,0.4551099657452027
THE TIMES OF INDIA,2025,3,0.5556666652361552,0.5,33.33333333333333,0.2083333333333333,0.1669999957084655,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.45666666825612384,0.5,0.0,0.4441333333651225,0.4548236646325723,0.3415726566074728,0.0745511746411659,0.9701843765332312,0.4206971658364707,0.45236580765018264
