year,article_count,political_bias_mean,political_bias_median,political_bias_std,political_bias_min,political_bias_max,political_bias_q25,political_bias_q75,political_bias_high_count,political_bias_high_pct,gender_bias_mean,gender_bias_median,gender_bias_std,gender_bias_min,gender_bias_max,gender_bias_q25,gender_bias_q75,gender_bias_high_count,gender_bias_high_pct,religious_bias_mean,religious_bias_median,religious_bias_std,religious_bias_min,religious_bias_max,religious_bias_q25,religious_bias_q75,religious_bias_high_count,religious_bias_high_pct,caste_bias_mean,caste_bias_median,caste_bias_std,caste_bias_min,caste_bias_max,caste_bias_q25,caste_bias_q75,caste_bias_high_count,caste_bias_high_pct,region_bias_mean,region_bias_median,region_bias_std,region_bias_min,region_bias_max,region_bias_q25,region_bias_q75,region_bias_high_count,region_bias_high_pct,overall_bias_mean,overall_bias_median,political_bias_ma_5y,gender_bias_ma_5y,religious_bias_ma_5y,caste_bias_ma_5y,region_bias_ma_5y,overall_bias_ma_5y
2008,7317,0.4116301762694395,0.0,0.4588626553002086,0.0,1.0,0.0,1.0,2725,37.242039087057535,0.48141027965212646,0.5,0.270677339356164,0.0,1.0,0.3000000119209289,0.6669999957084656,2881,39.37406040727074,0.16897458062482137,0.0,0.2368792358776837,0.0,0.800000011920929,0.0,0.5,327,4.469044690446904,0.9628148148994848,1.0,0.17490625908438487,0.0,1.0,1.0,1.0,6988,95.5036217028837,0.36678925845036336,0.5,0.18700960355108306,0.0,0.7400000095367432,0.25,0.5,259,3.5397020636873036,0.4783238219792471,0.4800000011920929,0.46223825848129374,0.46546255072332265,0.18745435566929985,0.951295795291152,0.37343542128953594,0.48797727629092086
2009,7177,0.3870540615890092,0.0,0.45707808411549816,0.0,1.0,0.0,1.0,2526,35.19576424689982,0.4725807462958418,0.5,0.27391501774638816,0.0,1.0,0.2730000019073486,0.625,2672,37.23004040685523,0.14944127140369723,0.0,0.22751989691260227,0.0,0.8999999761581421,0.0,0.5,226,3.1489480284241327,0.9587873764335071,1.0,0.1845284782801154,0.0,1.0,1.0,1.0,6825,95.09544377873763,0.3657087924832734,0.5,0.1894377484361765,0.0,0.7400000095367432,0.25,0.5,226,3.1489480284241327,0.46671444964106573,0.4666000008583069,0.44818484809269304,0.46707448244502103,0.17677648526101228,0.956569532939619,0.3726755809714759,0.4842561859419643
2010,7185,0.39934933889053226,0.0,0.45985920349542714,0.0,1.0,0.0,1.0,2631,36.61795407098121,0.4757213664276781,0.5,0.27513235942192876,0.0,1.0,0.277999997138977,0.625,2690,37.439109255393184,0.1321024360564241,0.0,0.2189952193783252,0.0,0.800000011920929,0.0,0.3330000042915344,152,2.115518441196938,0.959713430850972,1.0,0.18083421978976771,0.0,1.0,1.0,1.0,6832,95.08698677800975,0.36460222737940134,0.5,0.1932002578099572,0.0,0.7400000095367432,0.25,0.5,241,3.3542101600556715,0.46629775992100153,0.4666000008583069,0.431998315483611,0.468841799509881,0.1614559301240394,0.9596810352398464,0.37018807910316265,0.47843303189210806
2011,7213,0.3795149036440789,0.0,0.45588345530489505,0.0,1.0,0.0,1.0,2473,34.28531817551643,0.48216817091903064,0.5,0.2677416462643309,0.0,1.0,0.3330000042915344,0.6359999775886536,2739,37.97310411756551,0.13337751322396335,0.0,0.21959147952666844,0.0,0.800000011920929,0.0,0.3499999940395355,135,1.871620684874532,0.9664099543365348,1.0,0.16529484571563893,0.0,1.0,1.0,1.0,6916,95.88243449327602,0.3709758773795216,0.5,0.1920871918517591,0.0,0.7400000095367432,0.25,0.5,305,4.228476362123943,0.4664892839006259,0.4583999991416931,0.40723976620831887,0.47388401898848853,0.150436303259315,0.9613900486416277,0.36917681521306356,0.47242539046216275
2012,6125,0.40836702040263584,0.0,0.458843558618647,0.0,1.0,0.0,1.0,2264,36.96326530612245,0.46619167553101265,0.5,0.26203140418241133,0.0,1.0,0.2730000019073486,0.6000000238418579,2202,35.95102040816327,0.15315346983987457,0.0,0.2279797610079162,0.0,0.800000011920929,0.0,0.5,130,2.122448979591837,0.9547474287164455,1.0,0.18863644719506362,0.0,1.0,1.0,1.0,5781,94.38367346938776,0.3764331434259609,0.5,0.18361165123196924,0.0,0.7400000095367432,0.25,0.5,243,3.9673469387755103,0.4717785475831859,0.4666000008583069,0.39718310015913916,0.4756144477651379,0.1474098542297561,0.9604946010473888,0.3689018598237041,0.46992077260502524
2013,5291,0.40951219050133075,0.0,0.4586072413793553,0.0,1.0,0.0,1.0,1994,37.68663768663769,0.45732489287109734,0.4379999935626983,0.25918210168310846,0.0,1.0,0.25,0.6000000238418579,1821,34.41693441693442,0.16439784600545004,0.0,0.23364984318324172,0.0,0.800000011920929,0.0,0.5,162,3.0618030618030616,0.9646363637438795,1.0,0.1667140674068747,0.0,1.0,1.0,1.0,5054,95.52069552069553,0.375984502605287,0.5,0.17832058345975352,0.0,0.7400000095367432,0.25,0.5,200,3.78000378000378,0.47437115914540895,0.4681999996304512,0.3967595030055174,0.4707973704089321,0.14649450730588187,0.9608589108162677,0.37074090865468884,0.46913024003825765
2014,8191,0.4087215235906852,0.0,0.4576637401783442,0.0,1.0,0.0,1.0,3036,37.06507141985105,0.4531573692152256,0.4289999902248382,0.257731114563199,0.0,1.0,0.25,0.6000000238418579,2783,33.9763154681968,0.15811573738486262,0.0,0.23004561702657722,0.0,0.699999988079071,0.0,0.5,241,2.9422536930777685,0.9459228422827023,1.0,0.20653590269464647,0.0,1.0,1.0,1.0,7646,93.3463557563179,0.3762974003221857,0.5,0.16994078990392572,0.0,0.7400000095367432,0.25,0.5,317,3.8701013307288488,0.46844297455913225,0.4666000008583069,0.4010929954058525,0.46691269499280885,0.14822940050211492,0.9582860039861067,0.37285863022247134,0.4694759450218709
2015,7214,0.3491011920986924,0.0,0.449278064056168,0.0,1.0,0.0,1.0,2308,31.99334627113945,0.45931064749577055,0.4289999902248382,0.2727660029324963,0.0,1.0,0.25,0.6110000014305115,2500,34.65483781535902,0.14003174444843866,0.0,0.2250473911421718,0.0,0.8999999761581421,0.0,0.5,232,3.215968949265317,0.9504678404422919,1.0,0.19778031344129238,0.0,1.0,1.0,1.0,6769,93.83143886886609,0.37043568124467396,0.5,0.19175989851510716,0.0,0.7400000095367432,0.25,0.5,402,5.572497920709731,0.4538694211459735,0.4406000018119812,0.39104336604748463,0.4636305512064274,0.14981526218051783,0.9564368859043707,0.3740253209955259,0.4669902772668653
2016,7118,0.35759679684229667,0.0,0.44814432218010053,0.0,1.0,0.0,1.0,2329,32.71986513065468,0.4583186303684344,0.4289999902248382,0.27093313594800755,0.0,1.0,0.25,0.6110000014305115,2513,35.30486091598763,0.12987693239670184,0.0,0.22002381449509856,0.0,0.800000011920929,0.0,0.25,231,3.2452936218038775,0.94753722967928,1.0,0.20532703638788768,0.0,1.0,1.0,1.0,6663,93.60775498735599,0.37154200669544474,0.5,0.18860754844640149,0.0,0.7400000095367432,0.25,0.5,314,4.411351503231245,0.4529743191964315,0.4413000017404556,0.38665974468712816,0.4588606430963081,0.14911514601506554,0.9526623409729199,0.3741385468587105,0.4642872843260264
2017,7002,0.36765809763638985,0.0,0.4502232395664964,0.0,1.0,0.0,1.0,2345,33.49043130534133,0.47308097846095254,0.5,0.26844935331253783,0.0,1.0,0.2730000019073486,0.6669999957084656,2602,37.160811196800914,0.13314895800899282,0.0,0.22064765898233188,0.0,0.800000011920929,0.0,0.3330000042915344,195,2.784918594687232,0.9588371895059998,1.0,0.17930791710316613,0.0,1.0,1.0,1.0,6639,94.81576692373608,0.36862296536373296,0.5,0.18243855144029808,0.0,0.7400000095367432,0.25,0.5,220,3.141959440159954,0.46026963779521357,0.45,0.37851796013387895,0.4602385036822961,0.1451142436488892,0.9534802931308308,0.3725765112462649,0.46198550236843194
2018,7435,0.3672708809616266,0.0,0.449569253704704,0.0,1.0,0.0,1.0,2487,33.44989912575655,0.46332629600135206,0.5,0.2618683525925791,0.0,1.0,0.25,0.625,2689,36.166778749159384,0.12514324180917125,0.0,0.21437910834822574,0.0,0.699999988079071,0.0,0.25,137,1.8426361802286482,0.9487729658536167,1.0,0.19818051959664656,0.0,1.0,1.0,1.0,6953,93.51714862138533,0.37529172885213513,0.5,0.17270991643404057,0.0,0.7400000095367432,0.25,0.5,308,4.142568930733019,0.45596102269558036,0.4427999973297119,0.37006969822593816,0.46143878430834706,0.13726332280963344,0.9503076135527782,0.3724379564956345,0.45830347507846625
2019,6963,0.3625838000952778,0.0,0.4506092689378134,0.0,1.0,0.0,1.0,2322,33.347694959069365,0.46861108867353907,0.5,0.2572990116122747,0.0,1.0,0.3120000064373016,0.625,2526,36.27746660922016,0.13444420560267778,0.0,0.22012091372671194,0.0,0.800000011920929,0.0,0.3330000042915344,165,2.3696682464454977,0.9535635503247845,1.0,0.19020934711921117,0.0,1.0,1.0,1.0,6556,94.15481832543445,0.37232845091372924,0.5,0.17275864142686223,0.0,0.7400000095367432,0.25,0.5,239,3.432428550911963,0.4583062191220017,0.4440000057220459,0.3608421535268566,0.4645295282000097,0.13252901645319648,0.9518357551611946,0.3716441666139432,0.4562761239910401
2020,8334,0.43816522682831677,0.5,0.4522172259433122,0.0,1.0,0.0,1.0,3273,39.27285817134629,0.4438684921008107,0.4289999902248382,0.24701223219197754,0.0,1.0,0.25,0.6000000238418579,2748,32.97336213102952,0.13578737745982783,0.0,0.22053666272431321,0.0,0.800000011920929,0.0,0.375,167,2.003839692824574,0.9290424768057749,1.0,0.23045307820597377,0.0,1.0,1.0,1.0,7584,91.0007199424046,0.3756909053786098,0.5,0.17032002772910765,0.0,0.7400000095367432,0.25,0.5,306,3.6717062634989204,0.46451089571466797,0.4611999988555908,0.3786549604727815,0.4614410971210178,0.13168014305547432,0.9475506824338913,0.37269521144073037,0.458404418904779
2021,7833,0.4293527384188141,0.3330000042915344,0.4523574970691415,0.0,1.0,0.0,1.0,3013,38.46546661560066,0.44455457848199376,0.4289999902248382,0.25317201686996377,0.0,1.0,0.25,0.6000000238418579,2643,33.74186135580238,0.13761777140663362,0.0,0.220951026384415,0.0,0.800000011920929,0.0,0.4000000059604645,151,1.9277416060257884,0.929620579821038,1.0,0.22884265826583475,0.0,1.0,1.0,1.0,7129,91.0123835056811,0.37399246841935413,0.5,0.16322629359140808,0.0,0.7400000095367432,0.25,0.5,258,3.293757181156645,0.4630276273095667,0.4572000026702881,0.39300614878808504,0.45868828674372963,0.13322831085746065,0.9439673524622428,0.37318530378551223,0.46041508052740604
2022,33819,0.44798208110142634,0.5,0.45328995532724475,0.0,1.0,0.0,1.0,13409,39.64930955971495,0.44659718041647745,0.4289999902248382,0.2506765681586203,0.0,1.0,0.25,0.6000000238418579,10967,32.4285165143854,0.12518702541441656,0.0,0.21360518221642072,0.0,1.0,0.0,0.25,580,1.7150122712084923,0.9648606701828359,1.0,0.16088772721249472,0.0,1.0,1.0,1.0,32231,95.30441467813951,0.4228821378921101,0.5,0.13366666858351622,0.0,0.7400000095367432,0.3330000042915344,0.5,1035,3.0604098287944645,0.4815018190014533,0.4857999980449676,0.40907094548109235,0.4533915271348346,0.1316359243385454,0.9451720485976101,0.3840371382911877,0.46466151676865397
2023,50986,0.45627919430287184,0.5,0.44857253143279097,0.0,1.0,0.0,1.0,20417,40.0443258933825,0.4447373408188979,0.4289999902248382,0.24815438627836292,0.0,1.0,0.25,0.6000000238418579,16392,32.150001961322715,0.12467485229565729,0.0,0.21387149106642295,0.0,0.800000011920929,0.0,0.25,920,1.8044168987565212,0.9704475543537618,1.0,0.14765310205955118,0.0,1.0,1.0,1.0,48963,96.0322441454517,0.4226782455722111,0.5,0.13099043012568062,0.0,0.7400000095367432,0.3330000042915344,0.5,1302,2.553642176283686,0.48376343746868,0.4857999980449676,0.42687260814934136,0.4496737360983437,0.1315422464358426,0.949506966297639,0.3935144416352029,0.47022199972327394
2024,46766,0.46449379890459985,0.5,0.4478285830454099,0.0,1.0,0.0,1.0,19125,40.895094726938375,0.43737989263254173,0.4289999902248382,0.2531834728740192,0.0,1.0,0.25,0.6000000238418579,14735,31.507933113800625,0.1251692686742783,0.0,0.21424940336160878,0.0,0.8999999761581421,0.0,0.25,912,1.950134713253218,0.9673434975477172,1.0,0.1544635722497203,0.0,1.0,1.0,1.0,44710,95.60364367275372,0.4253621226429853,0.5,0.12964077718676506,0.0,0.7400000095367432,0.3330000042915344,0.5,1333,2.8503613736475217,0.48394971608042453,0.4866000056266785,0.44725460791120575,0.44342749689014427,0.1296872590501627,0.9522629557422256,0.404121175981054,0.47535069911495853
2025,7197,0.43733111016449205,0.5,0.4476968340178572,0.0,1.0,0.0,1.0,2813,39.085730165346675,0.4059815212159757,0.4169999957084656,0.2565676584435071,0.0,1.0,0.2000000029802322,0.6000000238418579,2049,28.47019591496457,0.1241464503528725,0.0,0.21378815583130295,0.0,0.699999988079071,0.0,0.25,143,1.9869390023620954,0.8934415730545384,1.0,0.2887580123918743,0.0,1.0,1.0,1.0,6304,87.59205224399055,0.3534222599059422,0.375,0.17668959571539883,0.0,0.7400000095367432,0.25,0.5,206,2.862303737668473,0.44286458293876413,0.45,0.44708778457844084,0.43585010271317726,0.12735907362877166,0.9451427749919784,0.39966744688652056,0.47102143655977774
